english,georgia,level
book, წიგნი, A1
cat, კატა, A1
dog, ძაღლი, A1
house, სახლი, A1
car, მანქანა, A1
water, წყალი, A1
food, საჭმელი, A1
mother, დედა, A1
father, მამა, A1
school, სკოლა, A1
teacher, მასწავლებელი, A1
pen, კალამი, A1
table, მაგიდა, A1
chair, სკამი, A1
friend, მეგობარი, A1
sun, მზე, A1
moon, მთვარე, A1
day, დღე, A1
night, ღამე, A1
child, ბავშვი, A1
boy, ბიჭი, A1
girl, გოგო, A1
apple, ვაშლი, A1
banana, ბანანი, A1
bread, პური, A1
milk, რძე, A1
coffee, ყავა, A1
tea, ჩაი, A1
cold, ცივი, A1
hot, ცხელი, A1
big, დიდი, A1
small, პატარა, A1
good, კარგი, A1
bad, ცუდი, A1
happy, ბედნიერი, A1
sad, სევდიანი, A1
yes, კი, A1
no, არა, A1
please, გეთაყვა, A1
thank you, მადლობა, A1
sorry, ბოდიში, A1
hello, გამარჯობა, A1
goodbye, ნახვამდის, A1
name, სახელი, A1
city, ქალაქი, A1
country, ქვეყანა, A1
language, ენა, A1
English, ინგლისური, A1
Georgian, ქართული, A1
number, რიცხვი, A1
one, ერთი, A1
two, ორი, A1
three, სამი, A1
four, ოთხი, A1
five, ხუთი, A1
color, ფერი, A1
red, წითელი, A1
blue, ლურჯი, A1
green, მწვანე, A1
black, შავი, A1
white, თეთრი, A1
family, ოჯახი, A1
brother, ძმა, A1
sister, და, A1
people, ადამიანები, A1
work, მუშაობა, A1
job, სამუშაო, A1
money, ფული, A1
shop, მაღაზია, A1
market, ბაზარი, A1
buy, ყიდვა, A1
sell, გაყიდვა, A1
walk, სიარული, A1
run, სირბილი, A1
go, წასვლა, A1
come, მოსვლა, A1
eat, ჭამა, A1
drink, დალევა, A1
sleep, ძილი, A1
read, კითხვა, A1
write, წერა, A1
listen, მოსმენა, A1
speak, ლაპარაკი, A1
see, დანახვა, A1
look, ყურება, A1
hear, გაგონება, A1
