english,georgia,level
acknowledge, აღიარება / ცნობადობა, C1
allocate, გამოყოფა / განაწილება, C1
assess, შეფასება, C1
collapse, ჩამოშლა / კოლაფსი, C1
comprehensive, ყოვლისმომცველი, C1
convey, გადაცემა / გამოხატვა, C1
criteria, კრიტერიუმები, C1
crucial, გადამწყვეტი, C1
derive, წარმოშობა / მიღება, C1
deteriorate, გაუარესება, C1
emphasize, ხაზგასმა, C1
enhance, გაუმჯობესება / გაძლიერება, C1
evaluate, შეფასება, C1
feasible, განხორციელებადი / შესაძლებელი, C1
fluctuate, მერყეობა, C1
highlight, გამოკვეთა / ხაზგასმა, C1
implement, განხორციელება, C1
incentive, სტიმული, C1
inevitable, გარდაუვალი, C1
justification, გამართლება, C1
magnitude, მასშტაბი, C1
notion, წარმოდგენა / იდეა, C1
perspective, პერსპექტივა / ხედვა, C1
preliminary, წინასწარი, C1
prevalent, გავრცელებული, C1
ratio, შეფარდება / თანაფარდობა, C1
retain, შენარჩუნება, C1
shift, გადაადგილება / ცვლა, C1
sustain, შენარჩუნება / მხარდაჭერა, C1
trigger, წამოწყება / პროვოცირება, C1
undergo, განცდა / გადატანა (მოვლენის), C1
viable, რეალიზებადი / სიცოცხლისუნარიანი, C1
widespread, ფართოდ გავრცელებული, C1
subsequent, მომდევნო, C1
intrinsic, შიდა / ბუნებრივი, C1
coherent, თანმიმდევრული / ლოგიკური, C1
consequently, შედეგად / შესაბამისად, C1
ongoing, მიმდინარე, C1
compile, შეგროვება / კომპილაცია, C1
contradict, წინააღმდეგობაში ყოფნა, C1
encounter, შეჯახება / მოულოდნელი შეხვედრა, C1
assess, შეფასება, C1
evaluate, შეფასება, C1
estimate, შეფასება, C1
analyze, ანალიზი, C1
justify, გამართლება, C1
interpret, ინტერპრეტაცია, C1
indicate, აღნიშვნა, C1
identify, ამოცნობა, C1
define, განსაზღვრა, C1
formulate, ფორმულირება, C1
illustrate, მაგალითის მოყვანა, C1
clarify, განმარტება, C1
summarize, შეჯამება, C1
specify, დაზუსტება, C1
debate, დებატირება, C1
comment, კომენტარი, C1
highlight, ხაზგასმა, C1
imply, მინიშნება, C1
demonstrate, ჩვენება, C1
contrast, შეპირისპირება, C1
conclude, დასკვნის გამოტანა, C1
criticize, კრიტიკა, C1
support, მხარდაჭერა, C1
propose, შეთავაზება, C1     
suggest, შეთავაზება, C1
recommend, რეკომენდაცია, C1
argue, არგუმენტაცია, C1
persuade, დაყოლიება, C1
anticipate, პროგნოზირება, C1
reveal, გამჟღავნება, C1
explore, კვლევა, C1
contribute, წვლილის შეტანა, C1
emphasize, ხაზგასმა, C1
enhance, გაუმჯობესება, C1
resolve, გადაჭრა, C1
establish, დაარსება, C1
maintain, შენარჩუნება, C1
assume, მტკიცება, C1
confirm, დადასტურება, C1
investigate, გამოძიება, C1
react, რეაგირება, C1
observe, დაკვირვება, C1
compare, შედარება, C1
depend, დამოკიდება, C1
facilitate, გაუადვილება, C1
generate, წარმოქმნა, C1
improve, გაუმჯობესება, C1
limit, შეზღუდვა, C1
measure, გაზომვა, C1
organize, ორგანიზება, C1
perform, შესრულება, C1
predict, პროგნოზირება, C1
promote, ხელშეწყობა, C1
provide, უზრუნველყოფა, C1
reduce, შემცირება, C1
reflect, ასახვა, C1
respond, პასუხი, C1
select, არჩევა, C1
solve, გადაჭრა, C1
vary, განსხვავება, C1
achieve, მიღწევა, C1
adapt, ადაპტირება, C1
affect, გავლენა, C1
apply, გამოყენება, C1
assess, შეფასება, C1
assign, დაკისრება, C1
assume, فرضება, C1
attach, მიბმა, C1
balance, ბალანსი, C1
challenge, გამოწვევა, C1
clarify, გარკვევა, C1
collaborate, თანამშრომლობა, C1
commit, დაპირება, C1
communicate, კომუნიკაცია, C1
compete, კონკურენცია, C1
concentrate, კონცენტრაცია, C1
conclude, დასკვნა, C1
conduct, მართვა, C1
confirm, დადასტურება, C1
connect, დაკავშირება, C1
consider, განხილვა, C1
construct, აგება, C1
consult, კონსულტაცია, C1
contribute, წვლილი, C1
convert, გარდაქმნა, C1
create, შექმნა, C1
criticize, კრიტიკა, C1
debate, დებატირება, C1
decide, გადაწყვეტილება, C1
define, განსაზღვრა, C1
deliver, მიწოდება, C1
demonstrate, ვენება, C1
depend, დამოკიდებულება, C1
describe, აღწერა, C1
design, დიზაინი, C1
develop, განვითარება, C1
differ, განსხვავება, C1
discuss, განხილვა, C1
distribute, განაწილება, C1

