english,georgia,level
eventually, ბოლოს და ბოლოს,  B1
meanwhile, იმავდროულად, B1
nowadays, დღესდღეობით, B1
temporarily, დროებით, B1
weekly, ყოველკვირეული, B1
schedule, განრიგი, B1
confident, თავდაჯერებული, B1
curious, ცნობისმოყვარე, B1
disappointed, იმედგაცრუებული, B1
excited, აღტაცებული,  B1
jealous, ეჭვიანი,  B1
nervous, ნერვიული, B1
proud, ამაყი, B1
satisfied, კმაყოფილი, B1
climate, კლიმატი, B1
pollution, დაბინძურება, B1
recycle, გადამუშავება, B1
wildlife, ველური ბუნება, B1
natural disaster, ბუნებრივი, B1
drought, გვალვა, B1
global warming,გლობალური დათბობა, B1
earthquake, მიწისძვრა, B1
home, სახლი, B1
big, დიდი, B1
car,მანქანა,B1

break,შესვენება,B1
car,მანქანა,B2
car,მანქანა,B2
