english,georgia,level
always, ყოველთვის, A2
sometimes, ზოგჯერ, A2
never, არასდროს, A2
usually, ჩვეულებრივად, A2
often, ხშირად, A2
because, რადგან, A2
before, ადრე, A2
after, შემდეგ, A2
together, ერთად, A2
each, თითოეული, A2
everyone, ყველა ადამიანი, A2
everything, ყველაფერი, A2
nothing, არაფერი, A2
somewhere, სადღაც, A2
anywhere, სადმე, A2
apartment, ბინა, A2
village, სოფელი, A2
capital, დედაქალაქი, A2
weather, ამინდი, A2
cloudy, მოღრუბლული, A2
windy, ქარიანი, A2
rainy, წვიმიანი, A2
sunny, მზიანი, A2
snowy, თოვლიანი, A2
weekend, შაბათ-კვირა, A2
holiday, არდადეგი / დღესასწაული, A2
travel, მოგზაურობა, A2
ticket, ბილეთი, A2
passport, პასპორტი, A2
luggage, ბარგი, A2
airport, აეროპორტი, A2
station, სადგური, A2
address, მისამართი, A2
floor, სართული, A2
key, გასაღები, A2
hungry, მშიერი, A2
thirsty, მოწყურებული, A2
tired, დაღლილი, A2
angry, გაბრაზებული, A2
worried, აღელვებული, A2
bored, მოწყენილი, A2
interested, დაინტერესებული, A2
boring, მოსაწყენი, A2
funny, სახალისო, A2
healthy, ჯანსაღი, A2
ill, ავადმყოფი, A2
medicine, წამალი, A2
hospital, საავადმყოფო, A2
nurse, მედდა, A2
doctor, ექიმი, A2
fever, სიცხე, A2
cough, ხველება, A2
accident, ავარია / შემთხვევა, A2
police, პოლიცია, A2
fire, ცეცხლი, A2
emergency, გადაუდებელი შემთხვევა, A2
birthday, დაბადების დღე, A2
invitation, მოწვევა, A2
present, საჩუქარი, A2
party, წვეულება, A2
noise, ხმაური, A2
quiet, მშვიდი, A2
early, ადრე, A2
late, გვიან, A2
start, დაწყება, A2
finish, დამთავრება, A2
win, მოგება, A2
lose, წაგება, A2
game, თამაში, A2
team, გუნდი, A2
match, მატჩი, A2
player, მოთამაშე, A2
news, ახალი ამბები, A2
story, ამბავი, A2
magazine, ჟურნალი, A2
newspaper, გაზეთი, A2
